Name,ShortName,Region,State,Code,Visitors,Year,Area,PersonAcre
Acadia National Park,Acadia,NE,ME,ACAD,64000,1919,49057.36,1.304595274
Acadia National Park,Acadia,NE,ME,ACAD,66500,1920,49057.36,1.355556027
Acadia National Park,Acadia,NE,ME,ACAD,69836,1921,49057.36,1.423558055
Acadia National Park,Acadia,NE,ME,ACAD,73779,1922,49057.36,1.503933355
Acadia National Park,Acadia,NE,ME,ACAD,64200,1923,49057.36,1.308672134
Acadia National Park,Acadia,NE,ME,ACAD,71758,1924,49057.36,1.462736682
Acadia National Park,Acadia,NE,ME,ACAD,73673,1925,49057.36,1.501772619
Acadia National Park,Acadia,NE,ME,ACAD,101256,1926,49057.36,2.064032798
Acadia National Park,Acadia,NE,ME,ACAD,123699,1927,49057.36,2.521517668
Acadia National Park,Acadia,NE,ME,ACAD,134897,1928,49057.36,2.749781073
Acadia National Park,Acadia,NE,ME,ACAD,149554,1929,49057.36,3.048553775
Acadia National Park,Acadia,NE,ME,ACAD,154734,1930,49057.36,3.154144455
Acadia National Park,Acadia,NE,ME,ACAD,162238,1931,49057.36,3.30710825
Acadia National Park,Acadia,NE,ME,ACAD,237596,1932,49057.36,4.843228417
Acadia National Park,Acadia,NE,ME,ACAD,262712,1933,49057.36,5.355200524
Acadia National Park,Acadia,NE,ME,ACAD,275956,1934,49057.36,5.625170209
Acadia National Park,Acadia,NE,ME,ACAD,316114,1935,49057.36,6.443762975
Acadia National Park,Acadia,NE,ME,ACAD,340393,1936,49057.36,6.938673422
Acadia National Park,Acadia,NE,ME,ACAD,383036,1937,49057.36,7.807921176
Acadia National Park,Acadia,NE,ME,ACAD,394319,1938,49057.36,8.037917246
Acadia National Park,Acadia,NE,ME,ACAD,396468,1939,49057.36,8.081723109
Acadia National Park,Acadia,NE,ME,ACAD,382084,1940,49057.36,7.788515322
Acadia National Park,Acadia,NE,ME,ACAD,409961,1941,49057.36,8.356768485
Acadia National Park,Acadia,NE,ME,ACAD,36544,1942,49057.36,0.744923901
Acadia National Park,Acadia,NE,ME,ACAD,8246,1943,49057.36,0.168088947
Acadia National Park,Acadia,NE,ME,ACAD,12916,1944,49057.36,0.263283634
Acadia National Park,Acadia,NE,ME,ACAD,20200,1945,49057.36,0.411762883
Acadia National Park,Acadia,NE,ME,ACAD,382390,1946,49057.36,7.794752918
Acadia National Park,Acadia,NE,ME,ACAD,434069,1947,49057.36,8.848193217
Acadia National Park,Acadia,NE,ME,ACAD,420846,1948,49057.36,8.578651603
Acadia National Park,Acadia,NE,ME,ACAD,438584,1949,49057.36,8.940228337
Acadia National Park,Acadia,NE,ME,ACAD,485220,1950,49057.36,9.890870605
Acadia National Park,Acadia,NE,ME,ACAD,518556,1951,49057.36,10.57040167
Acadia National Park,Acadia,NE,ME,ACAD,549075,1952,49057.36,11.19251016
Acadia National Park,Acadia,NE,ME,ACAD,556195,1953,49057.36,11.33764638
Acadia National Park,Acadia,NE,ME,ACAD,553800,1954,49057.36,11.28882598
Acadia National Park,Acadia,NE,ME,ACAD,655000,1955,49057.36,13.35171726
Acadia National Park,Acadia,NE,ME,ACAD,735500,1956,49057.36,14.9926535
Acadia National Park,Acadia,NE,ME,ACAD,858900,1957,49057.36,17.50807626
Acadia National Park,Acadia,NE,ME,ACAD,816500,1958,49057.36,16.64378189
Acadia National Park,Acadia,NE,ME,ACAD,755900,1959,49057.36,15.40849324
Acadia National Park,Acadia,NE,ME,ACAD,1638200,1960,49057.36,33.39356215
Acadia National Park,Acadia,NE,ME,ACAD,1574600,1961,49057.36,32.0971206
Acadia National Park,Acadia,NE,ME,ACAD,1601500,1962,49057.36,32.6454583
Acadia National Park,Acadia,NE,ME,ACAD,1864800,1963,49057.36,38.01264479
Acadia National Park,Acadia,NE,ME,ACAD,2011600,1964,49057.36,41.0050602
Acadia National Park,Acadia,NE,ME,ACAD,1733600,1965,49057.36,35.33822448
Acadia National Park,Acadia,NE,ME,ACAD,2158400,1966,49057.36,43.99747561
Acadia National Park,Acadia,NE,ME,ACAD,2102000,1967,49057.36,42.84780102
Acadia National Park,Acadia,NE,ME,ACAD,2303300,1968,49057.36,46.95116085
Acadia National Park,Acadia,NE,ME,ACAD,2489800,1969,49057.36,50.75283301
Acadia National Park,Acadia,NE,ME,ACAD,2776300,1970,49057.36,56.59293529
Acadia National Park,Acadia,NE,ME,ACAD,2101100,1971,49057.36,42.82945515
Acadia National Park,Acadia,NE,ME,ACAD,2285881,1972,49057.36,46.5960867
Acadia National Park,Acadia,NE,ME,ACAD,2394000,1973,49057.36,48.80001696
Acadia National Park,Acadia,NE,ME,ACAD,2335800,1974,49057.36,47.61365063
Acadia National Park,Acadia,NE,ME,ACAD,2380500,1975,49057.36,48.52482889
Acadia National Park,Acadia,NE,ME,ACAD,2353300,1976,49057.36,47.9703759
Acadia National Park,Acadia,NE,ME,ACAD,2734600,1977,49057.36,55.74290993
Acadia National Park,Acadia,NE,ME,ACAD,2684933,1978,49057.36,54.73048285
Acadia National Park,Acadia,NE,ME,ACAD,2787366,1979,49057.36,56.81850797
Acadia National Park,Acadia,NE,ME,ACAD,2779666,1980,49057.36,56.66154885
Acadia National Park,Acadia,NE,ME,ACAD,2997972,1981,49057.36,61.1115641
Acadia National Park,Acadia,NE,ME,ACAD,3572114,1982,49057.36,72.81504753
Acadia National Park,Acadia,NE,ME,ACAD,4124639,1983,49057.36,84.07788352
Acadia National Park,Acadia,NE,ME,ACAD,3734763,1984,49057.36,76.13053373
Acadia National Park,Acadia,NE,ME,ACAD,3745570,1985,49057.36,76.35082687
